wn_synset	babelnet_id	pos	lemmata	definition	confidence	dist_from_music	dist_from_entity	ANNOTATION
wn:06892657n	bn:00009908n	n	benefit_concert	a concert given for the benefit of some charitable cause	0.408	10	8	YES
wn:10864635n	bn:00009935n	n	Britten, Benjamin_Britten, Edward_Benjamin_Britten, Lord_Britten_of_Aldeburgh	major English composer of the 20th century; noted for his operas (1913-1976)	0.511	12	8	NO
wn:11007332n	bn:00009936n	n	Goodman, Benny_Goodman, Benjamin_David_Goodman, King_of_Swing	United States clarinetist who in 1934 formed a big band (including black as well as white musicians) and introduced a kind of jazz known as swing (1909-1986)	0.605	12	8	NO
wn:07051851n	bn:00009999n	n	lullaby, cradlesong, berceuse	a quiet song intended to lull a child to sleep	0.425	3	7	YES
wn:10847454n	bn:00010026n	n	Berlin, Irving_Berlin, Israel_Baline	United States songwriter (born in Russia) who wrote more than 1500 songs and several musical comedies (1888-1989)	0.391	13	9	NO
wn:10847653n	bn:00010031n	n	Berlioz, Hector_Berlioz, Louis-Hector_Berlioz	French composer of romantic works (1803-1869)	0.4	12	8	NO
wn:10848802n	bn:00010062n	n	Bernstein, Leonard_Bernstein	United States conductor and composer (1918-1990)	0.555	12	8	NO
wn:10849083n	bn:00010068n	n	Berry, Chuck_Berry, Charles_Edward_Berry	United States rock singer (born in 1931)	0.601	13	9	NO
wn:11305745n	bn:00010096n	n	Smith, Bessie_Smith	United States blues singer (1894-1937)	0.446	12	8	NO
wn:00134780n	bn:00010281n	n	punch, clout, poke, lick, biff, slug	(boxing) a blow with the fist	0.425	12	10	NO
wn:08250168n	bn:00010293n	n	big_band	a large dance or jazz band usually featuring improvised solos by lead musicians	0.793	9	7	YES
wn:11024226n	bn:00010402n	n	Haley, Bill_Haley, William_John_Clifton_Haley_Jr.	United States rock singer who was one of the first to popularize rock'n'roll music (1925-1981)	0.451	13	9	NO
wn:10916731n	bn:00010497n	n	Crosby, Bing_Crosby, Harry_Lillis_Crosby	United States singer and film actor (1904-1977)	0.296	11	7	NO
wn:11222914n	bn:00010640n	n	Parker, Charlie_Parker, Yardbird_Parker, Bird_Parker, Charles_Christopher_Parker	United States saxophonist and leader of the bop style of jazz (1920-1955)	0.607	12	8	NO
wn:10851865n	bn:00010811n	n	Bizet, Georges_Bizet	French composer best known for his operas (1838-1875)	0.444	12	8	NO
wn:07377473n	bn:00011127n	n	blare, blaring, cacophony, clamor, din	a loud harsh or strident noise	0.5	9	7	YES
wn:10853244n	bn:00011300n	n	Blitzstein, Marc_Blitzstein	United States pianist and composer of operas and musical plays (1905-1964)	0.289	12	8	NO
wn:10853413n	bn:00011307n	n	Bloch, Ernest_Bloch	United States composer (born in Switzerland) who composed symphonies and chamber music and choral music and a piano sonata and an opera (1880-1959)	0.369	12	8	NO
wn:02191773n	bn:00011448n	n	blowfly, blow_fly	large usually hairy metallic blue or green fly; lays eggs in carrion or dung or wounds	0.684	16	12	NO
wn:07051517n	bn:00011537n	n	blue_note	a flattened third or seventh	0.867	8	8	YES
wn:07062190n	bn:00011585n	n	bluegrass	a type of country music played at a rapid tempo on banjos and guitars	0.729	5	8	YES
wn:07051185n	bn:00011596n	n	blues	a type of folksong that originated among Black Americans at the beginning of the 20th century; has a melancholy sound from repeated use of blue notes	0.635	3	6	YES
wn:07230089n	bn:00011623n	n	braggadocio, bluster, rodomontade, rhodomontade	vain and empty boasting	0.917	9	7	NO
wn:10947108n	bn:00011703n	n	Dylan, Bob_Dylan	United States songwriter noted for his protest songs (born in 1941)	0.525	12	8	NO
wn:11157580n	bn:00011705n	n	Marley, Robert_Nesta_Marley, Bob_Marley	Jamaican singer who popularized reggae (1945-1981)	0.415	12	8	NO
wn:09862713n	bn:00011712n	n	bobbysoxer, bobby-socker	an adolescent girl wearing bobby socks (common in the 1940s)	0.28	12	8	NO
wn:07055103n	bn:00011854n	n	bolero	music written in the rhythm of the bolero dance	0.672	2	6	YES
